software,count
BME-SW-SolidWorks-SolidWorks-2017 SP3-SS,0
BME-FW-VPython-VPython for 2.7-6.05,0
BME-SW-PTC-Creo-5.0.1.0,0
BME-SW-Cisco-WebEx Meetings-29.13.41.30001-SS,0
BME-FW-JAM Software-TreeSize Free-2.7-SS,0
BME-FW-Adobe-Acrobat Reader-DC-SS,0
BME-SW-PTC-Creo-5.0.1.0-SS,0
BME-FW-Microsoft-Powershell-4.0-SS,0
BME-SW-AdmissionPros-Enterprise System-4.3.244,0
BME-SW-Adobe-Acrobat Professional-DC,68
BME-SW-AdmissionPros-Enterprise System-4.3.244-SS,0
BME-SW-Freedom Scientific-JAWS-15,0
BME-SW-Alertus-Alertus-3.0.12.164-SS,0
BME-FW-Microsoft-Visual C Express-2010-SS,0
BME-FW-SlySoft-Virtual CloneDrive-5.4.5.0-SS,0
BME-SW-ESRI-ArcGIS Desktop-10.4.1,0
BME-SW-Adobe-Photoshop User License-2017,0
BME-SW-ESRI-ArcGIS Desktop-10.4.1-SS,0
BME-SW-IBM-SPSS Amos-23-SS,0
BME-SW-ESRI-ArcGIS Desktop-10.5.1,0
BME-FW-NotepadPP-NotepadPP-6.7.4-SS,0
BME-SW-ESRI-ArcGIS Desktop-10.5.1-SS,0
BME-SW-SAS-JMP Genomics-9.0-SS,0
BME-FW-Oracle-Java JRE-8u161,41
BME-FW-GIMP-GIMP-2.8.6-SS,0
BME-FW-Quest-PowerGUI-3.8-SS,0
BME-FW-Oracle-Java JRE-8u161-SS,0
BME-FW-Oracle-Java JDK-8u161,0
BME-SW-Adobe-Design Web Premium-CS6-SSr2,0
BME-SW-Kaspersky-Uninstall-1.0,0
BME-FW-Ansgar Becker-HeidiSQL-7.0.0.4053-SS,0
BME-FW-Oracle-Java JDK-8u161-SS,0
BME-FW-NotepadPP Team-NotepadPP-6.3.2-SS,0
BME-SW-ESRI-ArcGIS Desktop-10.6.0,0
BME-SW-Autodesk-AutoCAD-2015-SS,0
BME-SW-TechSmith-Camtasia Relay-4.3.1,0
BME-SW-RefWorks-ProQuest-4.3.1217,0
BME-SW-ESRI-ArcGIS Desktop-10.6.0-SS,0
BME-SW-EMSSOFTWARE-EMS-43.0.386.0,0
BME-SW-Cisco-WebEx Meetings-27.32.200.910,0
BME-FW-MicroLab Inc-MicroLab-5.9.10,0
BME-SW-SAS-SAS-9.4.0.17039-SS,0
BME-FW-Pidgin-Pidgin-AUTO-SS,0
BME-SW-Sassafras-K2 Client-6.1.6,0
BME-FW-Oracle-Java JRE-8u91-SS,0
BME-SW-Adobe-Premiere Pro User License-2015,0
BME-FW-Martin Prikryl-WinSCP-AUTO,41
BME-FW-Irfan Skiljan-IrfanView-4.35,0
BME-SW-Autodesk-AutoCAD Civil 3D-2018,0
BME-SW-Autodesk-Inventor-2015,0
BME-FW-Martin Prikryl-WinSCP-AUTO-SS,0
BME-FW-Oracle-Java JRE-8u111,0
BME-FW-Oracle-Java JRE-8u111-SS,0
BME-FW-R Core Team-R-3.0.0-SS,0
BME-SW-IBM-SPSS-24,0
BME-SW-AdmissionPros-Enterprise System-4.3.203,0
BME-SW-NAG-NAG Fortran Compiler-6.0,0
BME-SW-ESRI-ArcGIS Pro-2.2.163783,0
BME-FW-Adobe-Flash Player-AUTO-SS,0
BME-FW-Microsoft-Visual C Express-2010,0
BME-SW-ESRI-ArcGIS Pro-2.2.163783-SS,0
BME-FW-Dell-Enable WOL-1.0,171
BME-SW-Adobe-Illustrator-2015,2
BME-FW-Adobe-Acrobat Reader-DC 2018,0
BME-SW-ESRI-ArcGIS Desktop-10.6.1,0
BME-SW-Cisco-WebEx Meetings-27.32.200.910-SS,0
BME-SW-Adobe-InDesign-2015,0
BME-FW-Adobe-Acrobat Reader-DC 2018-SS,0
BME-SW-ESRI-ArcGIS Desktop-10.6.1-SS,0
BME-SW-Microsoft-Project Professional-2013,2
BME-FW-Oracle-Java JRE-8u65,0
BME-FW-myitforum-SCCM Right Click Tools-2.0,
BME-SW-Adobe-Premiere Pro-2015-SS,0
BME-FW-Scintilla-SciTE-3.3.4,0
BME-SW-SolidWorks-SolidWorks-2015SP2.1,0
BME-SW-Freedom Scientific-MAGic-12,0
BME-SW-LabStats-LabStats Client-7.17.706.0-SS,0
BME-FW-QGIS-QGIS-3.2.2,0
BME-FW-Martin Prikryl-WinSCP-5.5.6,0
BME-SW-Mathworks-MATLAB-R2016b,6
BME-FW-QGIS-QGIS-3.2.2-SS,0
BME-SW-RefWorks-Write N Cite-3,0
BME-FW-Blackboard-Collaborate Launcher-1.1.0.0,0
BME-SW-Microsoft-Office Professional-2013-SS,0
BME-FW-Microsoft-Powershell-5.0-SS,0
BME-FW-NCBI-Cn3D-4.3.1,0
BME-SW-PTC-Creo-4.0 M030,0
BME-FW-Bluebeam-Vu(x64)-2017.0.40,0
BME-SW-PerkinElmer-ChemBioDraw-13.0,
BME-SW-PTC-Creo-4.0 M030-SS,0
BME-SW-IBM-SPSS-19-SS,0
BME-FW-Bluebeam-Vu(x64)-2017.0.40-SS,0
BME-SW-Labstats-LabStats Client-7.18.410.0,0
BME-SW-Labstats-LabStats Client-7.18.410.0-SS,0
BME-SW-Microsoft-Office Professional-2013,17
BME-FW-RStudio-RStudio-1.1.383,0
BME-SW-Autodesk-AutoCAD-2016-SS,0
BME-FW-Igor Pavlov-7Zip-16.00,0
BME-FW-MicroLab Inc-MicroLab-5.9.10-SS,0
BME-SW-Adobe-Acrobat-AUTO,15
BME-FW-Oracle-Java JRE-8u40,0
BME-FW-Oracle-Java JRE-8u72,0
BME-SW-Microsoft-Project-2010-SS,0
BME-SW-Adobe-Acrobat Professional-10.1-SS,4
BME-SW-Adobe-Bridge-2018-SS,0
BME-SW-Adobe-Creative Cloud Full-2018-SS,0
BME-SW-TurningTech-TurningPoint-5.2.1-SS,0
BME-SW-Microsoft-Visio Professional-2013,0
BME-SW-Maplesoft-Maple-15,0
BME-FW-MySolutions NORDIC-NSClient-0.3.9.322,0
BME-SW-Adobe-Photoshop User License-2018-SS,0
BME-FW-Audacity-Audacity-2.0.6,0
BME-FW-Audacity-Audacity-1.3.12,0
BME-SW-Adobe-Bridge User License-2018,0
BME-SW-Design Science-MathType-6.9d,0
BME-FW-Slack-Slack-AUTO,0
BME-SW-OriginLab-Origin-2016,0
BME-FW-Eclipse-Eclipse-4.7.0-SS,0
BME-SW-Autodesk-AutoCAD Civil 3D-2015,0
BME-SW-Adobe-Dreamweaver User License-2018,0
BME-SW-Design Science-MathType-6.9d-SS,0
BME-FW-Slack-Slack-AUTO-SS,0
BME-SW-OriginLab-Origin-2016-SS,0
BME-SW-Autodesk-AutoCAD-2016,
BME-SW-Adobe-InDesign User License-2018,0
BME-SW-Adobe-Photoshop User License-2018,
BME-FW-Oracle-Java JDK-8u141,0
BME-FW-Simon Tatham-PuTTy-0.70,41
BME-SW-Adobe-Lightroom User License-2018-SS,0
BME-FW-Canneverbe Ltd-CDBurnerXP-4.5.1.4003-SS,0
BME-SW-Spirion-Spirion-AUTO,0
BME-FW-Pascal Brachet-Texmaker-2.0.0,0
BME-FW-Simon Tatham-PuTTy-0.70-SS,0
BME-FW-Mozilla-Firefox-AUTO-SS,0
BME-SW-Adobe-Lightroom User License-2018,0
BME-SW-SAS-JMP-10-SSr2,0
BME-SW-Spirion-Spirion-AUTO-SS,0
BME-FW-Martin Prikryl-WinSCP-5.11.3,0
BME-SW-Microsoft-Project Professional-2016-SS,0
BME-SW-Adobe-Premiere Pro User License-2018,0
BME-FW-Martin Prikryl-WinSCP-5.11.3-SS,0
BME-SW-Adobe-Creative Cloud Full User License-2018,0
BME-SW-Design Science-Mathtype-6.9b-SS,0
BME-SW-Labstats-LabStats Client-7.17.1025.0,0
BME-SW-Adobe-After Effects-2018,0
BME-SW-OriginLab-Origin-2017SR1-SS,0
BME-FW-VPython-VPython for 2.7-6.05-SS,0
